Type,ville,ville_secteur,surface_totale,chambres,salle_bains,pieces,etat,age_bien,etage,standing,terrasse,balcon,parking,ascenseur,securite,climatisation,cuisine_equipee,concierge,chauffage,garage,jardin,piscine,salon_marocain,salon_euro,prix
0,4,"Casablanca Finance City, Casablanca",100,2,1,3,1,1,4,2,1,0,0,1,1,1,1,1,0,1,1,0,1,1,12000
0,4,"Palmier, Casablanca",130,2,2,3,1,0,6,2,1,0,0,1,1,1,1,1,1,1,1,0,1,1,9000
0,4,"Casablanca Finance City, Casablanca",70,1,1,2,1,0,6,2,1,0,0,1,1,1,1,1,1,1,1,1,0,1,10000
0,4,"Casablanca Finance City, Casablanca",99,2,2,2,1,1,3,2,1,0,0,1,1,1,0,1,1,1,0,0,0,0,11500
0,4,"Palmier, Casablanca",120,2,2,3,0,1,-1,2,1,0,0,1,1,1,1,1,0,1,1,0,1,1,13000
0,4,"Oasis, Casablanca",90,2,1,2,0,0,5,2,1,0,0,1,1,1,1,1,0,1,0,0,0,1,12000
0,4,"Ain Diab, Casablanca",152,3,3,4,1,0,2,2,1,0,0,1,1,1,1,1,1,1,1,0,1,1,20000
0,4,"Casablanca Finance City, Casablanca",9000,2,2,2,1,1,5,2,1,0,0,0,1,1,1,1,1,0,0,0,1,1,12000
0,4,"Palmier, Casablanca",125,2,2,3,0,0,-1,2,1,0,0,1,1,1,1,1,0,1,1,1,1,1,20000
0,4,"Oasis, Casablanca",54,1,1,2,0,0,-1,2,1,0,0,1,1,1,1,1,1,1,1,0,1,1,8000
1,4,"Ain Diab, Casablanca",350,4,3,5,0,1,-1,2,1,0,0,0,1,1,1,0,1,1,1,1,0,0,38000
1,4,"Ain Diab, Casablanca",350,4,4,6,0,0,-1,2,1,0,0,1,1,0,1,0,0,1,1,1,0,1,36000
1,4,"CIL (Hay Salam), Casablanca",450,4,3,5,1,2,-1,2,1,0,0,0,0,1,1,0,0,1,1,0,0,0,32000
1,4,"Ain Diab Extension, Casablanca",330,4,4,7,0,1,-1,2,1,0,0,0,0,1,1,0,1,1,1,1,0,1,40000
1,4,"Laymoune, Casablanca",450,4,4,7,0,1,-1,2,1,0,0,0,1,1,1,0,1,1,1,0,1,1,30000
1,4,"Ain Diab, Casablanca",460,4,3,10,1,2,-1,2,1,0,0,0,1,1,1,0,1,1,1,1,1,1,32000
1,4,"Californie, Casablanca",400,4,4,5,1,2,-1,2,0,0,0,0,0,0,0,0,0,1,1,1,0,0,48000
1,4,"Ain Diab, Casablanca",360,3,3,4,1,2,-1,2,1,0,0,0,0,1,1,1,0,1,1,1,0,0,30000
1,4,"Californie, Casablanca",1005,5,4,8,1,2,-1,2,1,0,0,0,1,1,1,1,1,1,1,1,1,1,55000
1,4,"Ain Diab, Casablanca",600,4,3,5,1,2,-1,2,1,0,0,0,1,1,1,0,1,1,1,1,1,0,34000
1,4,"Oasis, Casablanca",400,4,3,6,1,3,-1,2,1,0,0,0,1,1,1,1,1,1,1,1,1,1,35000
1,4,"Oulfa, Casablanca",300,4,3,7,0,0,-1,2,1,0,0,0,0,0,1,0,0,1,1,0,1,1,15000
1,4,"Franceville, Casablanca",300,3,2,4,1,3,-1,2,1,0,0,0,0,0,0,0,0,1,1,0,0,0,15000
1,4,"CIL (Hay Salam), Casablanca",650,3,4,5,1,4,-1,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,29000
1,4,"Ain Diab, Casablanca",560,4,4,5,1,2,-1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,28000
